food_item,calories_(kcal),protein_(g),carbohydrates_(g),fat_(g)
Carrot,513,22.3,20.9,2.3
Cookies,437,12.6,16.3,27.4
Butter,468,47.3,91.5,2.1
Pork Chop,95,4.6,67.9,13.3
Strawberry,327,25.0,94.1,36.1
Bread,163,46.2,15.2,28.2
Spinach,559,34.1,10.1,17.5
Green Tea,212,48.2,53.7,40.8
Eggs,557,34.3,21.5,50.0
Strawberry,182,30.9,86.7,36.9
Bread,267,39.8,24.2,25.8
Oats,372,21.7,64.5,17.4
Milk,158,49.2,69.7,42.4
Eggs,93,38.1,88.9,15.8
Rice,60,27.1,41.5,1.2
Pork Chop,87,7.1,73.5,9.0
Salmon,197,17.2,65.3,21.1
Tomato,93,36.2,77.0,35.4
Chips,311,17.1,24.2,21.3
Cookies,597,8.5,67.2,48.1
Butter,480,20.0,79.8,30.2
Grapes,240,34.3,40.4,2.4
Salmon,553,27.3,94.6,10.9
Tomato,460,3.6,22.6,35.6
Apple,211,43.8,94.3,17.4
Orange Juice,485,21.3,57.5,28.3
Coffee,306,14.3,14.3,41.7
Coffee,314,2.5,31.3,33.1
Salmon,544,37.5,96.9,42.1
Carrot,55,47.0,74.9,11.5
Chocolate,163,11.5,85.7,37.9
Quinoa,87,13.9,73.0,24.5
Apple,134,5.0,73.0,44.4
Milk,524,31.3,85.3,25.7
Pasta,140,32.8,38.2,24.5
Apple,345,38.6,11.2,44.1
Potato,314,17.8,79.1,27.0
Apple,568,45.6,22.4,8.4
Salmon,330,25.5,28.4,23.9
Butter,178,20.5,6.4,17.9
Oats,373,6.3,62.7,15.9
Milkshake,177,47.1,18.9,40.9
Popcorn,419,5.9,17.5,34.8
Butter,287,16.4,6.9,29.2
Coffee,580,33.8,76.1,5.8
Apple,453,34.6,19.4,20.0
Milk,401,2.4,65.8,5.2
Apple,213,12.8,25.9,12.2
Salmon,76,41.3,64.1,41.0
Cheese,524,9.4,6.9,33.1
Strawberry,560,8.6,88.4,1.4
Chocolate,311,20.5,33.6,14.4
Carrot,351,33.8,10.3,23.6
Butter,292,35.5,26.4,26.9
Paneer,458,6.1,74.2,38.2
Water,286,28.3,50.8,37.6
Green Tea,406,29.0,67.6,9.5
Chicken Breast,137,42.1,88.8,21.0
Tomato,361,34.1,60.8,23.4
Apple,327,3.4,76.3,48.4
Chocolate,386,27.3,96.5,34.7
Pasta,548,42.3,65.9,7.0
Green Tea,317,47.7,78.2,6.6
Bread,441,40.2,77.2,43.0
Milkshake,361,10.8,13.2,32.2
Milkshake,76,28.0,77.2,11.1
Rice,362,5.1,89.5,41.8
Green Tea,559,5.8,50.7,37.1
Eggs,459,6.8,15.9,7.2
Tomato,567,28.9,17.0,14.9
Carrot,553,16.2,76.8,3.1
Pork Chop,72,31.1,35.8,39.4
Salmon,246,1.4,45.6,21.3
Apple,158,29.2,33.1,32.4
Apple,465,33.6,47.1,47.6
Beef Steak,140,33.9,88.7,3.7
Coffee,290,39.1,81.8,32.1
Milk,232,9.4,25.0,33.3
Quinoa,489,11.8,53.3,26.0
Broccoli,366,46.2,43.8,42.0
Popcorn,413,19.6,99.6,26.8
Green Tea,554,11.1,31.7,42.4
Cookies,447,25.9,78.3,24.5
Milkshake,483,15.8,12.7,22.1
Orange,54,46.9,9.0,9.2
Beef Steak,487,48.6,71.1,13.8
Spinach,495,32.0,43.5,9.4
Pork Chop,182,27.4,84.0,23.5
Water,397,3.4,81.8,4.5
Orange Juice,159,42.8,49.2,13.7
Carrot,325,14.9,82.9,31.5
Paneer,380,40.0,56.3,29.3
Nuts,369,38.8,30.8,12.4
Orange Juice,234,34.2,24.8,30.6
Paneer,517,27.3,36.6,4.9
Bread,233,35.2,19.0,36.5
Orange Juice,518,41.5,69.2,43.1
Paneer,531,13.8,5.5,10.2
Rice,445,45.8,50.3,37.2
Chips,397,3.8,74.8,24.2
Carrot,379,11.4,53.1,17.3
Nuts,69,38.2,33.6,36.0
Pork Chop,303,25.0,63.0,37.4
Water,172,8.4,49.4,23.3
Quinoa,580,20.6,19.7,47.6
Paneer,409,34.5,97.7,37.1
Apple,303,8.5,85.5,17.9
Pasta,419,28.6,42.2,27.5
Eggs,281,8.2,60.8,14.0
Popcorn,209,26.9,57.9,49.8
Cookies,479,23.1,45.9,42.3
Nuts,543,47.8,29.3,12.4
Coffee,406,19.4,91.0,48.7
Eggs,168,36.7,50.6,16.3
Beef Steak,305,39.6,81.1,24.9
Grapes,370,34.9,45.6,33.7
Milkshake,144,44.4,36.3,45.8
Broccoli,134,29.1,68.9,33.1
Salmon,73,41.5,58.0,13.2
Pasta,539,10.0,56.4,16.5
Green Tea,81,24.1,97.8,32.9
Grapes,393,47.2,27.3,14.4
Milk,246,10.1,38.7,10.8
Rice,460,14.4,37.3,22.6
Orange Juice,492,32.1,31.3,2.8
Milkshake,279,30.3,14.1,37.6
Chocolate,281,12.7,82.7,28.7
Rice,564,18.3,41.3,11.2
Tomato,530,7.1,83.4,28.7
Green Tea,537,12.3,87.3,33.9
Salmon,544,21.1,80.8,45.1
Orange Juice,185,13.6,53.3,11.9
Rice,399,9.3,5.9,37.0
Cookies,573,39.3,7.5,15.8
Bread,543,45.1,41.7,39.8
Milkshake,78,12.7,18.5,27.0
Orange,286,32.9,9.7,35.1
Yogurt,51,20.3,60.8,46.5
Paneer,89,48.6,13.0,9.0
Butter,172,42.2,25.7,48.7
Oats,116,35.1,40.4,23.4
Spinach,146,17.0,27.7,6.2
Chocolate,485,22.9,50.8,20.2
Bread,239,29.2,34.0,26.0
Chocolate,489,10.5,9.8,23.9
Quinoa,274,15.0,55.0,2.7
Chips,265,26.7,49.0,19.3
Quinoa,236,16.6,67.4,11.5
Pork Chop,571,24.2,22.2,25.2
Milk,240,5.5,22.5,48.3
Spinach,80,25.9,83.3,30.6
Popcorn,237,23.8,28.4,40.0
Yogurt,139,2.0,66.6,11.5
Milkshake,521,43.0,44.1,42.1
Milkshake,52,25.5,27.9,32.0
Pork Chop,228,17.5,11.5,1.6
Milk,216,24.0,59.0,31.8
Water,584,25.2,68.4,8.4
Chips,467,46.2,42.3,2.8
Milkshake,174,35.7,68.6,2.2
Chocolate,506,15.4,66.2,4.8
Nuts,286,15.3,12.8,11.1
Pasta,280,41.5,85.1,46.6
Tomato,79,16.5,45.8,38.4
Pork Chop,188,39.4,35.8,46.4
Bread,423,49.9,8.4,6.7
Eggs,392,30.5,41.0,46.1
Chicken Breast,503,3.5,24.3,35.9
Milkshake,343,27.4,49.3,8.5
Nuts,459,41.1,46.0,39.9
Orange,461,33.0,52.4,28.3
Chips,202,39.7,33.0,30.4
Green Tea,381,49.5,61.9,43.8
Banana,128,3.7,42.0,45.0
Water,210,6.1,90.0,49.0
Broccoli,366,33.4,15.9,34.8
Spinach,534,20.6,56.4,15.4
Apple,302,42.8,44.8,27.6
Salmon,375,11.6,87.8,37.0
Pork Chop,490,48.1,56.4,23.8
Chips,112,12.6,6.6,13.0
Apple,449,20.9,66.9,48.2
Orange,279,15.4,41.6,21.3
Paneer,450,22.6,93.6,21.1
Paneer,50,15.2,70.7,3.9
Butter,288,38.5,74.9,31.2
Cheese,444,13.2,98.1,29.3
Chocolate,294,43.0,96.5,38.1
Salmon,175,36.7,51.4,43.7
Butter,500,27.7,25.1,16.4
Apple,271,9.4,41.4,21.4
Eggs,283,26.1,31.4,45.0
Eggs,287,5.3,56.1,10.4
Strawberry,463,49.6,39.8,11.4
Banana,526,26.2,71.7,29.0
Spinach,291,14.3,27.9,3.9
Beef Steak,160,38.7,34.4,33.8
Popcorn,562,21.8,24.2,33.5
Grapes,88,26.5,84.8,17.6
Orange Juice,507,37.7,82.0,45.9
Oats,184,2.3,49.2,30.6
Oats,498,16.2,68.0,40.6
Yogurt,249,18.7,32.5,48.5
Banana,266,37.5,54.8,10.1
Chicken Breast,190,39.9,28.6,23.0
Coffee,142,20.1,24.0,6.6
Spinach,558,31.1,39.4,32.0
Milkshake,71,40.2,37.0,34.4
Nuts,569,44.0,69.4,38.8
Pasta,250,40.9,88.3,11.4
Oats,60,31.3,40.0,5.5
Cookies,423,41.9,17.8,44.5
Milk,249,49.6,71.3,48.0
Pork Chop,485,32.9,75.8,23.8
Oats,221,34.3,26.8,13.4
Milk,389,25.5,76.9,6.3
Cheese,146,33.3,12.5,48.2
Beef Steak,104,21.8,19.3,14.3
Eggs,527,34.0,33.4,8.5
Quinoa,50,29.4,98.5,32.6
Green Tea,250,18.0,52.1,4.7
Orange Juice,427,32.1,11.7,37.4
Banana,94,36.8,66.3,40.3
Pasta,499,27.6,56.0,8.0
Beef Steak,158,39.7,80.9,44.8
Bread,79,32.1,68.7,38.7
Carrot,551,13.2,94.9,6.2
Chocolate,121,26.9,55.8,12.5
Yogurt,510,41.0,41.2,29.6
Potato,288,16.8,60.9,30.6
Apple,378,13.8,46.7,41.3
Spinach,378,25.4,39.8,19.8
Chicken Breast,219,33.6,41.4,5.7
Butter,492,46.0,86.6,27.5
Quinoa,593,37.6,18.6,31.2
Bread,238,44.5,85.6,33.5
Pork Chop,232,2.6,84.2,36.9
Nuts,435,29.1,92.4,4.6
Chicken Breast,443,7.7,41.1,34.6
Spinach,430,8.9,51.7,26.4
Popcorn,494,41.1,13.9,47.2
Chocolate,402,22.3,59.2,25.0
Chips,128,16.7,32.3,1.2
Orange,444,37.9,21.5,1.8
Eggs,275,6.5,8.9,39.5
Carrot,543,23.2,28.5,40.3
Yogurt,500,10.2,75.3,33.8
Apple,52,8.2,47.3,48.7
Oats,434,21.7,88.9,10.4
Coffee,137,42.7,91.4,6.0
Nuts,184,17.8,65.4,44.0
Carrot,409,46.2,20.9,7.7
Oats,139,42.7,15.4,47.4
Quinoa,95,46.9,86.9,43.1
Pasta,287,3.3,20.7,30.1
Chicken Breast,365,49.4,32.4,26.8
Strawberry,380,45.9,87.7,39.3
Milk,222,36.1,37.9,44.6
Beef Steak,384,12.8,88.7,25.2
Banana,454,30.9,52.1,7.4
Grapes,182,29.2,53.0,29.5
Milk,87,39.8,29.1,32.9
Green Tea,538,16.7,17.1,47.8
Cheese,156,6.1,82.1,6.5
Pasta,486,43.0,29.8,23.6
Pasta,534,33.2,33.6,19.4
Orange Juice,537,34.9,86.3,9.7
Grapes,111,32.5,8.7,45.2
Milk,320,45.7,66.1,12.4
Milkshake,157,11.5,73.6,10.4
Green Tea,397,40.7,78.6,12.3
Paneer,81,20.6,70.8,29.1
Apple,96,28.5,91.5,38.4
Grapes,520,45.9,44.8,9.6
Orange Juice,437,36.5,95.4,37.4
Butter,541,26.5,38.5,2.4
Potato,97,20.1,63.3,20.7
Milkshake,433,9.1,17.4,37.7
Chicken Breast,540,24.2,43.5,4.4
Milkshake,306,42.4,38.7,14.5
Carrot,203,32.4,85.9,10.6
Milkshake,463,39.2,62.2,28.5
Broccoli,441,35.8,97.9,31.4
Potato,63,34.4,51.9,10.2
Yogurt,150,49.9,40.8,4.2
Chocolate,467,10.5,84.0,9.6
Banana,465,48.5,55.3,46.1
Orange,153,47.5,49.5,20.4
Spinach,576,25.7,48.6,33.0
Salmon,92,39.0,42.2,48.5
Spinach,578,14.7,21.7,34.4
Apple,125,5.3,71.9,35.0
Coffee,431,9.9,98.3,28.2
Carrot,333,42.1,10.8,45.9
Spinach,534,35.8,62.5,43.5
Cheese,293,25.6,28.6,33.7
Salmon,342,5.2,46.4,37.0
Eggs,319,12.3,34.6,22.7
Butter,383,42.2,44.0,24.4
Butter,91,35.5,39.3,37.9
Popcorn,180,4.7,95.4,34.1
Pasta,417,44.1,77.1,17.2
Pork Chop,373,8.5,57.5,34.3
Potato,353,35.1,14.9,8.8
Green Tea,571,3.2,79.6,41.3
Coffee,529,27.7,60.2,30.1
Cheese,525,38.7,59.2,47.5
Chocolate,586,38.5,71.9,34.0
Chicken Breast,430,40.1,88.4,27.3
Bread,101,39.9,46.7,39.4
Chocolate,347,9.1,23.6,44.6
Paneer,597,19.6,70.8,4.8
Bread,358,26.4,21.2,38.6
Oats,152,42.9,6.8,11.5
Green Tea,378,43.0,9.0,37.2
Chicken Breast,263,2.2,10.2,34.8
Oats,473,34.1,40.9,42.2
Butter,229,31.3,23.8,29.9
Nuts,119,7.0,41.5,47.9
Chips,324,29.7,77.6,22.3
Pork Chop,520,21.7,59.0,19.3
Coffee,523,18.5,25.7,13.6
Tomato,283,20.2,18.0,10.1
Beef Steak,404,48.4,63.1,44.9
Yogurt,439,36.4,68.9,30.4
Beef Steak,329,9.4,72.5,8.0
Milk,280,23.6,61.8,41.9
Apple,359,24.4,11.0,32.2
Broccoli,188,29.9,83.1,10.4
Potato,366,31.4,75.1,9.5
Chicken Breast,148,5.6,55.8,37.4
Strawberry,451,2.1,37.2,34.2
Coffee,85,28.7,98.0,46.4
Water,572,43.5,34.9,13.5
Broccoli,166,18.2,88.8,42.6
Yogurt,272,17.7,10.7,33.1
Orange,452,11.2,57.7,37.9
Milk,378,39.2,76.2,13.5
Carrot,346,1.9,90.7,32.9
Pork Chop,553,42.5,67.9,47.3
Milkshake,461,24.6,29.5,44.0
Salmon,468,18.1,60.3,36.3
Orange Juice,277,31.2,94.9,43.6
Quinoa,533,30.8,63.7,42.0
Beef Steak,461,43.1,15.5,36.6
Nuts,188,32.4,37.0,29.9
Strawberry,103,29.7,26.3,47.4
Butter,496,29.7,70.2,37.7
Banana,497,10.3,27.7,48.1
Milk,538,11.2,44.4,39.2
Oats,372,22.3,41.9,43.2
Potato,487,3.3,44.8,40.0
Banana,588,17.5,86.6,39.2
Yogurt,367,12.1,98.2,32.6
Banana,110,5.6,75.0,31.4
Salmon,344,39.0,29.6,26.5
Spinach,99,18.1,68.8,22.9
Apple,323,29.5,52.4,43.7
Banana,489,40.9,62.9,41.1
Oats,597,45.2,43.3,12.1
Cookies,263,34.9,52.7,46.4
Cheese,137,15.6,61.1,32.1
Eggs,70,6.1,75.1,11.5
Carrot,405,19.6,55.1,49.7
Butter,559,41.0,65.9,8.0
Banana,383,8.1,33.3,2.0
Broccoli,552,22.2,77.9,11.0
Strawberry,274,43.7,70.6,28.2
Carrot,123,28.4,10.7,46.3
Popcorn,412,39.4,85.8,47.2
Broccoli,407,17.8,63.9,46.9
Banana,393,24.5,56.3,1.7
Cheese,468,46.7,76.3,2.6
Oats,426,5.5,74.8,37.2
Potato,148,35.7,45.2,10.2
Yogurt,448,21.0,22.5,36.7
Apple,194,4.3,66.6,31.3
Apple,545,19.0,37.8,11.6
Grapes,565,23.1,8.7,39.7
Coffee,587,5.5,8.3,16.8
Rice,578,13.8,99.9,32.8
Chocolate,410,12.4,77.2,47.8
Chocolate,312,10.5,91.6,47.7
Oats,305,28.7,36.8,27.2
Popcorn,82,39.0,94.7,9.3
Butter,313,45.3,11.0,28.7
Cookies,501,16.1,75.3,15.3
Orange Juice,549,24.2,6.6,37.0
Potato,446,35.7,20.7,4.2
Pork Chop,238,11.0,56.6,36.9
Rice,263,13.6,52.4,23.6
Popcorn,392,8.2,51.7,4.1
Yogurt,116,25.5,61.8,49.9
Chips,243,22.7,88.2,3.1
Milk,137,2.0,60.2,8.6
Cookies,509,1.9,45.2,45.8
Chips,108,38.1,48.3,38.6
Quinoa,456,19.5,5.9,34.6
Carrot,303,35.8,84.1,18.4
Strawberry,554,1.4,32.7,12.5
Apple,582,31.5,77.8,21.6
Strawberry,225,9.8,28.8,2.5
Milkshake,521,8.7,36.7,6.5
Chocolate,535,4.5,29.0,30.6
Cheese,72,14.6,50.4,27.4
Water,580,47.8,77.4,7.5
Cookies,251,18.8,81.9,19.0
Cheese,83,43.2,97.9,41.7
Cookies,491,16.9,66.3,38.5
Cheese,523,34.1,31.5,20.9
Rice,86,24.6,18.3,26.5
Cookies,290,16.6,39.8,27.9
Rice,442,33.8,45.4,48.2
Milk,170,26.9,11.7,16.2
Eggs,306,39.8,13.4,16.6
Banana,203,30.5,30.5,41.4
Apple,281,38.7,70.4,31.8
Nuts,214,1.7,66.0,15.1
Chocolate,75,27.4,74.2,23.5
Potato,506,14.8,88.6,29.3
Orange,408,31.1,5.3,34.3
Grapes,527,6.8,18.5,41.7
Butter,388,20.9,49.0,27.1
Green Tea,103,14.2,87.6,41.6
Quinoa,534,31.5,99.9,19.2
Coffee,432,9.2,65.9,37.4
Banana,324,49.7,45.8,9.6
Green Tea,54,28.9,18.4,10.8
Rice,150,10.5,17.2,32.9
Bread,311,40.2,21.0,37.7
Nuts,538,11.1,62.9,29.2
Orange,388,12.8,20.0,46.5
Carrot,106,20.1,91.4,32.9
Popcorn,210,49.2,38.4,13.4
Cookies,262,35.9,45.0,24.4
Chicken Breast,397,8.3,10.7,25.3
Orange Juice,237,30.9,39.7,16.9
Yogurt,54,44.9,57.3,20.3
Coffee,450,33.9,59.4,26.0
Butter,135,27.3,63.1,12.6
Butter,393,33.7,72.5,47.6
Bread,309,7.4,28.6,45.4
Apple,198,32.3,97.4,40.3
Salmon,515,39.6,17.2,31.9
Oats,309,3.9,25.4,40.0
Coffee,240,43.6,33.5,15.2
Milk,494,25.5,5.9,49.9
Broccoli,60,2.0,23.0,42.4
Grapes,78,48.5,57.1,17.8
Cookies,535,36.8,34.3,15.8
Bread,384,19.1,60.9,10.8
Apple,150,32.3,81.9,32.1
Pasta,342,35.3,59.1,41.4
Pork Chop,142,12.2,75.9,47.1
Beef Steak,448,30.7,12.5,40.1
Orange Juice,299,35.2,14.9,12.3
Orange Juice,578,3.5,29.4,4.1
Potato,405,40.4,90.7,13.9
Water,534,14.4,60.4,2.4
Eggs,408,37.5,80.0,14.0
Banana,180,41.0,35.7,13.6
Orange Juice,97,8.7,76.1,18.4
Spinach,594,40.1,56.4,19.4
Nuts,561,4.3,59.7,19.1
Butter,86,6.4,21.8,37.1
Chocolate,247,11.9,31.0,42.0
Beef Steak,309,39.9,58.0,31.3
Carrot,73,9.5,8.6,47.9
Cookies,240,11.1,17.0,19.3
Coffee,522,18.3,65.6,20.0
Orange,202,23.0,76.4,49.7
Eggs,111,30.5,58.3,27.7
Chocolate,193,28.3,43.7,25.7
Banana,165,13.2,83.4,47.6
Broccoli,431,11.9,85.3,41.9
Popcorn,119,9.8,78.5,18.2
Nuts,462,20.7,25.2,1.7
Nuts,234,47.3,45.7,17.3
Carrot,465,12.0,90.8,1.2
Apple,82,36.2,67.7,15.5
Carrot,418,31.9,18.9,41.2
Cheese,166,24.1,58.6,13.5
Nuts,532,42.7,39.5,32.6
Yogurt,533,10.2,42.3,19.4
Quinoa,552,39.4,68.0,10.0
Chocolate,523,26.7,63.8,28.9
Oats,427,23.2,39.2,48.2
Coffee,376,15.6,32.6,1.8
Pork Chop,476,13.1,47.2,42.1
Chips,297,18.8,71.0,7.3
Water,188,18.7,27.0,31.6
Coffee,254,19.4,82.8,42.6
Quinoa,407,19.7,74.4,9.8
Butter,522,17.8,61.2,12.1
Popcorn,359,6.7,18.4,19.5
Coffee,540,26.6,84.1,11.9
Beef Steak,382,27.4,34.2,39.9
Milk,282,22.1,23.0,49.0
Potato,226,36.3,80.8,48.3
Broccoli,325,12.4,75.4,26.1
Cheese,76,39.8,82.1,33.2
Milk,137,44.4,66.2,42.5
Strawberry,539,26.6,41.9,43.4
Salmon,335,23.5,48.3,11.0
Popcorn,377,1.4,99.1,23.0
Chips,271,13.0,27.6,1.3
Tomato,490,22.1,83.5,1.2
Beef Steak,78,10.8,56.1,3.5
Apple,586,21.9,98.9,48.0
Quinoa,300,2.4,63.7,25.1
Chips,139,43.9,95.9,49.5
Butter,454,3.3,66.9,30.5
Yogurt,584,10.5,9.3,39.1
Chocolate,76,17.7,77.9,5.9
Chips,365,46.2,63.3,9.5
Popcorn,327,35.4,21.1,34.9
Paneer,587,1.9,16.0,11.2
Orange,588,46.6,17.4,22.3
Water,519,25.7,98.9,29.1
Beef Steak,254,36.7,44.6,36.8
Apple,517,32.6,73.3,43.3
Broccoli,320,9.1,81.1,34.8
Rice,530,21.5,65.3,35.6
Butter,565,16.1,33.0,23.6
Salmon,600,44.5,84.9,6.8
Pasta,382,17.2,56.0,26.0
Orange Juice,469,5.3,12.2,49.7
Strawberry,388,45.0,73.0,19.9
Orange Juice,159,47.7,51.4,16.0
Pork Chop,560,48.4,39.3,4.1
Paneer,540,30.6,72.8,16.5
Cheese,165,18.0,61.6,49.9
Pasta,481,35.9,51.5,32.0
Bread,216,19.9,77.4,42.6
Butter,407,2.7,41.4,33.6
Grapes,549,19.9,89.2,14.2
Orange,157,5.4,54.7,48.3
Orange,97,4.1,76.2,48.3
Cookies,310,36.3,94.6,21.8
Popcorn,53,40.2,16.3,12.9
Quinoa,245,15.1,70.4,30.8
Banana,435,27.7,69.2,6.6
Cheese,258,31.8,10.8,13.8
Water,487,31.6,22.1,30.7
Pork Chop,389,17.7,6.1,2.4
Broccoli,476,46.7,53.3,25.6
Eggs,144,6.8,35.3,5.1
Butter,356,20.6,99.7,28.8
Milkshake,506,39.8,71.8,35.1
Pork Chop,396,7.4,29.0,6.0
Popcorn,245,29.4,40.6,3.5
Milk,531,18.1,20.2,21.9
Cookies,549,5.1,70.0,25.5
Grapes,475,17.0,77.6,41.4
Spinach,390,35.7,20.9,20.8
Coffee,130,26.5,91.6,43.9
Popcorn,342,39.6,76.4,46.4
Popcorn,201,12.5,59.2,8.5
Green Tea,149,32.6,32.6,28.4
Carrot,175,4.6,25.5,45.9
Chips,474,20.9,25.1,11.3
Pasta,536,44.1,10.7,23.8
Nuts,521,38.9,98.5,47.9
Banana,286,42.7,56.7,48.6
Cheese,104,5.1,84.2,20.5
Green Tea,90,15.2,9.3,39.0
Bread,171,36.1,30.8,13.7
Green Tea,264,31.4,13.8,16.2
Coffee,224,45.2,81.9,21.3
Milkshake,534,13.1,36.7,29.8
Nuts,98,10.1,78.2,38.6
Water,242,45.9,55.0,39.6
Chips,326,34.0,19.3,4.8
Chicken Breast,271,44.8,16.4,29.4
Green Tea,222,35.3,90.7,20.6
Coffee,295,2.7,63.2,4.5
Green Tea,289,24.2,87.4,47.7
Grapes,342,35.2,18.1,41.9
Grapes,445,46.1,20.3,30.6
Grapes,139,40.8,94.5,10.8
Spinach,518,4.8,76.2,37.5
Green Tea,50,16.3,72.4,27.2
Rice,60,4.2,77.4,46.6
Quinoa,528,24.4,58.7,24.4
Popcorn,402,25.6,81.3,13.1
Butter,302,33.0,72.1,27.3
Water,420,43.6,10.2,49.0
Pork Chop,403,30.8,23.8,30.7
Pasta,144,22.3,39.6,28.2
Chicken Breast,100,15.5,94.4,2.6
Apple,574,34.5,93.8,39.4
Apple,155,44.6,71.6,45.0
Pasta,547,11.5,87.3,11.8
Oats,481,27.1,13.7,25.0
Potato,130,39.7,63.1,41.7
Coffee,262,38.4,99.3,38.5
Yogurt,191,24.5,49.2,38.1
Green Tea,600,19.6,97.4,25.9
Nuts,196,41.9,71.0,41.6
Tomato,400,38.5,98.4,5.9
Water,477,9.9,24.4,49.3
Nuts,485,2.4,38.2,23.1
Pasta,310,35.2,6.6,28.1
Chocolate,57,22.8,83.7,1.9
Strawberry,451,32.9,95.5,25.7
Beef Steak,104,28.6,19.7,39.7
Rice,112,35.7,84.2,25.3
Chips,128,42.4,27.6,42.6
Popcorn,153,21.9,69.0,24.1
Water,586,13.8,38.7,31.6
Orange,440,38.7,67.5,17.9
Grapes,446,5.2,18.2,48.4
Chicken Breast,101,13.8,60.5,11.3
Quinoa,314,33.6,19.2,4.1
Eggs,577,1.5,55.0,25.5
Chips,173,17.2,79.5,26.0
Milk,496,2.4,51.5,46.9
Beef Steak,140,23.3,37.6,24.9
Spinach,117,40.3,86.7,7.9
Beef Steak,520,31.0,33.3,35.8
Cookies,550,46.2,14.9,14.4
Carrot,248,2.1,57.1,40.4
Salmon,429,15.3,71.2,26.6
Tomato,488,47.4,77.1,32.8
Potato,60,38.1,11.3,4.7
Bread,474,12.5,28.6,33.9
Broccoli,319,36.0,41.5,1.3
Pasta,586,8.0,34.8,12.2
Yogurt,274,29.9,67.8,23.1
Pork Chop,146,10.3,49.5,9.2
Broccoli,493,43.2,64.5,21.0
Pork Chop,500,34.4,83.4,38.9
Butter,385,44.2,11.8,31.2
Chocolate,388,27.8,98.4,17.4
Quinoa,175,3.9,45.1,47.8
Pasta,259,16.7,49.1,23.7
Butter,189,42.1,98.0,37.1
Tomato,229,24.3,15.5,41.9
Paneer,122,10.6,62.8,42.9
Spinach,352,3.8,25.7,26.5
Bread,82,48.5,11.6,5.9
Orange Juice,484,28.8,89.7,42.9
Strawberry,267,23.6,40.5,43.2
Bread,158,38.2,32.5,17.7
Beef Steak,139,48.7,40.7,9.0
Chocolate,575,2.6,39.9,9.0
Strawberry,387,2.8,38.2,12.3
Orange Juice,165,28.9,98.1,23.8
Green Tea,301,21.8,60.3,24.2
Milkshake,470,37.7,76.3,43.6
Apple,516,2.3,58.5,21.1
Water,504,32.7,60.0,2.9
Chips,209,46.4,90.2,48.2
Pork Chop,294,40.7,82.0,18.6
Green Tea,355,23.6,25.2,15.0
Yogurt,62,24.2,81.6,43.2
Green Tea,169,2.8,15.3,15.3
Yogurt,63,49.9,89.6,35.3
Banana,312,36.3,6.2,22.5
Rice,247,37.2,22.8,37.6
Potato,523,3.2,6.4,37.8
Salmon,398,29.7,57.1,19.4
Milkshake,84,12.6,87.0,9.9
Pork Chop,482,27.7,13.9,20.0
Oats,413,26.4,37.9,26.7
Rice,173,39.3,67.9,1.1
Chocolate,328,45.3,75.6,42.2
Yogurt,336,8.7,71.0,14.2
Banana,201,4.7,34.9,8.0
Carrot,77,7.4,77.1,18.9
Spinach,188,21.4,42.9,26.6
Coffee,210,14.8,82.1,27.3
Chicken Breast,596,28.0,79.8,14.1
Oats,332,42.7,5.9,33.4
Orange,443,10.6,83.6,41.2
Green Tea,94,41.6,83.1,2.6
Yogurt,326,33.6,44.6,16.9
Apple,338,49.6,36.4,21.7
Chicken Breast,515,19.5,38.5,40.0
Green Tea,395,31.0,66.4,26.0
Salmon,337,21.0,25.9,16.1
Yogurt,175,36.8,53.4,35.0
Pork Chop,434,29.6,77.8,49.1
Popcorn,561,45.1,97.0,12.7
Chips,560,1.0,22.7,4.3
Milkshake,208,34.7,83.7,26.5
Pork Chop,155,43.7,7.9,49.9
Chips,594,4.1,7.4,8.5
Milkshake,239,12.4,64.1,29.2
Quinoa,458,35.0,71.7,47.9
Yogurt,222,9.0,80.7,42.7
Chicken Breast,410,4.7,52.3,21.2
Water,176,8.8,81.9,40.7
Grapes,523,7.6,13.0,25.8
Banana,514,44.7,87.5,37.6
Tomato,154,35.1,99.5,37.0
Grapes,483,47.9,66.7,7.9
Carrot,230,41.5,40.2,46.6
Cheese,479,17.2,38.4,48.1
Rice,64,32.9,58.3,28.8
Butter,171,16.9,25.4,6.9
Pasta,109,12.8,34.7,49.4
Pasta,171,30.4,5.7,5.7
Orange,591,42.8,92.1,19.7
Water,559,2.6,50.6,9.4
Beef Steak,233,37.0,41.9,8.2
Strawberry,323,34.6,65.4,6.3
Green Tea,205,37.4,43.4,10.7
Strawberry,539,44.2,18.6,33.6
Cookies,558,8.8,65.1,15.3
Green Tea,160,2.6,45.6,10.3
Green Tea,231,33.8,57.6,35.7
Grapes,151,23.2,79.2,43.5
Cheese,448,47.6,62.4,37.3
Coffee,567,22.6,78.5,2.5
Carrot,511,11.9,61.1,2.2
Paneer,186,37.9,25.9,16.7
Spinach,92,28.3,36.4,4.5
Quinoa,430,33.7,40.7,27.9
Chips,285,2.2,16.4,25.4
Quinoa,173,28.6,48.3,10.8
Eggs,308,40.3,52.1,9.2
Green Tea,104,13.5,34.2,35.1
Milkshake,428,46.9,68.3,3.4
Paneer,351,8.7,23.3,2.2
Paneer,375,48.3,23.4,27.2
Milk,565,33.9,48.3,10.1
Yogurt,64,48.3,45.5,32.5
